X Y
178.93 562.12
568.01 1768.48
819.666 2547.75
254.952 798.529
537.98 1674.06
943.266 2931.75
401.532 1252.08
193.335 607.234
250.893 784.222
480.087 1495.39
984.863 3060.88
199.561 626.119
949.98 2951.84
270.547 846.201
827.479 2572.68
399.03 1244.91
62.3493 200.404
123.386 390.634
731.956 2277.12
196.936 618.403
433.363 1350.41
819.788 2547.95
904.141 2810.99
827.937 2572.85
302.927 945.804
308.237 962.588
993.194 3086.54
360.515 1125.07
917.264 2851.01
995.148 3091.94
844.813 2625.38
562.853 1752.25
556.2 1732.04
787.5 2449.03
998.291 3101.01
536.332 1669.09
258.065 806.928
43.611 142.502
459.09 1431.22
522.63 1627.79
22.7363 78.589
88.5342 282.366
778.283 2419.69
791.253 2459.73
774.804 2408.81
449.751 1402.31
969.359 3012.25
12.9398 46.5831
867.519 2697.01
470.351 1465.23
294.656 920.082
26.2154 89.2863
409.101 1275.23
454.97 1417.63
452.01 1407.6
402.112 1253.1
192.602 604.591
5.49333 24.9561
192.938 606.156
714.591 2222.04
510.453 1589.24
702.231 2184.77
904.05 2809.01
921.842 2865.5
634.968 1975.44
787.164 2446.63
181.921 571.205
765.404 2380.41
246.345 770.963
5.43229 23.143
934.355 2903.57
593.005 1846
588.946 1832.9
261.177 817.271
37.2631 123.522
511.582 1593.04
637.41 1983.2
244.118 763.216
80.2332 256.184
276.467 864.967
53.9262 173.658
683.126 2124.46
230.689 722.674
823.359 2559.07
217.597 681.76
382.855 1193.07
748.741 2328.04
848.872 2638.75
107.242 339.15
700.217 2177.72
183.599 576.699
346.416 1081.33
319.285 996.388
615.894 1915.67
782.983 2433.79
503.281 1566.71
1.43437 11.7464
58.504 188.824
146.275 459.906
865.291 2690.16
983.551 3056.91
636.525 1980.86
653.706 2034.34
175.176 549.256
887.234 2757.96
434.797 1354.91
701.56 2181.79
791.528 2460.12
495.102 1541.11
31.7698 106.269
275.643 861.683
93.1425 296.471
161.016 506.748
393.719 1227.73
893.826 2777.58
777.062 2415.25
542.711 1688.85
801.965 2493.5
448.866 1398.47
454.512 1416.54
437.696 1363.93
469.741 1462.67
983.001 3053.73
452.498 1409.68
4.18104 19.6131
4.91348 22.7988
925.26 2874.68
226.356 708.87
148.015 465.464
374.218 1167.42
823.237 2559.09
290.292 907.733
356.609 1113.56
526.017 1638.54
99.826 316.58
71.1997 228.208
761.62 2367.96
327.433 1022.54
867.031 2694.11
593.188 1846.54
711.386 2212.66
972.228 3020.71
327.25 1021.22
397.778 1240.54
634.327 1973.37
515.549 1605.37
794.092 2468.17
607.318 1889.4
474.532 1477.5
691.946 2153.17
863.216 2682.85
536.729 1670.62
481.063 1498.56
672.781 2092.44
765.13 2379.25
760.613 2365.8
631.794 1966.2
919.401 2858.01
430.708 1342.12
41.5357 135.976
473.434 1474.47
788.293 2450.8
300.851 939.158
26.0628 88.7941
658.773 2050.11
44.2518 144.379
411.634 1283.01
114.322 362.243
962.34 2990.16
938.322 2915.71
785.943 2443.32
409.986 1278.06
56.0015 180.115
6.04267 26.5178
663.106 2063.39
156.407 491.468
825.587 2565.61
243.11 761.605
597.736 1860.44
565.325 1758.88
509.384 1586.83
813.837 2530.23
958.8 2978.63
444.35 1383.71
440.748 1374.04
949.156 2949.68
860.378 2674.41
529.801 1650.39
675.008 2099.57
190.588 598.203
55.4216 178.319
930.54 2890.98
282.571 883.526
635.884 1977.52
823.603 2559.78
589.435 1834.71
589.465 1833.7
342.845 1070.11
384.289 1198
169.012 531.592
145.848 458.912
547.96 1706.43
866.695 2694.54
266.64 834.515
705.069 2192.33
855.251 2657.87
367.351 1145.97
366.405 1142.77
992.92 3085.21
52.3087 169.601
127.232 400.978
433.546 1351.07
549.883 1712.28
709.861 2208.08
358.867 1118.92
557.543 1735.75
426.344 1328.35
220.038 689.746
755.303 2348.78
550.371 1714.15
12.9093 47.1784
431.043 1343.96
211.829 663.394
906.217 2817.4
786.676 2444.96
533.433 1660.68
792.108 2462.94
28.4738 94.7356
254.402 795.79
354.686 1106.96
469.222 1461.65
131.046 413.62
874.996 2720.21
718.192 2233.43
674.001 2095.79
719.016 2235.35
240.761 753.746
22.9194 77.6906
180.517 566.888
56.3067 182.604
300.577 938.7
700.217 2178.7
361.4 1127.37
525.773 1637.49
904.813 2811.24
703.543 2187.68
343.059 1070.93
287.637 899.345
453.719 1412.74
687.826 2140.4
92.7152 294.665
143.803 453.452
931.028 2893.27
34.547 115.184
968.474 3008.75
12.7567 45.9615
103.092 325.813
378.704 1182.06
763.207 2373.26
922.605 2866.41
165.593 520.17
793.878 2467.47
774.102 2407.75
927.427 2882.54
618.671 1924.58
291.971 911.472
928.8 2885.71
854.244 2656.01
651.662 2027.47
793.542 2466.88
499.313 1555.51
285.928 894.192
819.208 2546.27
225.105 704.536
435.224 1355.62
686.88 2137.1
289.285 903.518
899.564 2795.17
847.102 2633.09
77.3034 246.304
445.021 1385.77
836.177 2599.84
671.712 2089.13
162.938 512.978
120.914 381.566
176.214 553.503
50.1724 163.555
325.694 1016.63
255.562 798.757
350.627 1093.6
450.026 1402.12
382.305 1192.57
241.218 754.561
155.736 489.533
62.7766 201.528
516.343 1607.3
752.159 2338.18
393.567 1227.94
508.316 1583.73
290.75 907.997
332.499 1038.49
232.765 729.469
376.751 1175.05
146.336 461.674
525.529 1636.72
946.623 2941.56
639.943 1990.43
293.161 915.318
824.702 2563.23
183.935 578.366
463.027 1441.64
400.433 1249.3
228.584 714.931
429.945 1340.57
447.615 1393.86
991.791 3081.09
680.502 2116.39
812.281 2525.56
838.13 2605.08
951.689 2957.94
174.017 547.469
909.421 2825.81
722.037 2245.91
49.501 160.653
805.78 2505.1
716.941 2228.81
755.547 2348.54
887.417 2758.38
556.963 1734.28
428.541 1334.8
445.967 1389.79
178.228 558.826
84.3532 268.276
187.567 589.205
522.019 1626.2
759.88 2362.23
302.622 944.407
465.529 1450.23
423.109 1319.38
252.052 789.177
38.5144 126.056
223.884 700.402
439.161 1368.68
762.108 2369.75
539.048 1679.13
515.275 1603.61
531.968 1657.15
545.61 1698.06
113.926 360.092
680.319 2115.72
369.61 1153.71
28.5958 95.1416
694.601 2160.7
796.503 2475.47
604.785 1881.15
97.2625 309.664
589.923 1835.79
535.295 1666.01
928.709 2885.24
61.2812 196.435
220.801 691.194
83.6207 266.179
931.486 2894.73
197.546 619.703
114.475 362.259
286.05 894.864
300.607 939.496
280.038 875.614
939.848 2920.96
663.961 2065.84
388.44 1210.5
2.25837 13.687
864.711 2688.77
467.94 1458.03
680.013 2115.78
698.691 2174.11
17.243 60.2417
419.599 1308.59
192.602 604.1
270.943 846.217
331.645 1035.46
299.112 933.643
338.267 1055.93
725.73 2257.13
559.771 1742.59
34.5775 113.925
280.221 875.532
229.957 720.709
730.644 2273.11
449.934 1401.53
314.951 984.205
89.9991 285.618
837.703 2604.64
326.853 1020.87
310.77 969.805
560.869 1745.92
36.4086 120.183
937.681 2913.02
734.275 2283.21
891.69 2770.97
132.633 418.62
705.222 2193.86
295.969 924.675
513.81 1600.04
643.269 2001.5
145.787 459.129
746.422 2320.43
777.886 2418.06
210.364 659.701
751.549 2337.37
853.633 2652.59
145.604 457.904
650.227 2023
968.719 3010.52
93.9055 297.618
243.416 760.955
418.226 1304.42
927.671 2883.16
86.4284 275.076
683.157 2124.69
771.142 2397.61
81.2403 259.22
303.232 947.769
56.8255 182.842
407.849 1271.22
407.483 1269.93
86.0622 273.245
11.6276 42.7529
869.9 2703.83
333.079 1039.37
500.961 1561.09
810.907 2520.22
482.925 1503.66
33.8755 112.253
61.9526 199.43
287.881 899.039
120.579 381.093
268.41 839.189
855.373 2659.52
598.468 1861.64
571.764 1779.84
400.983 1250.21
95.3093 302.836
678.64 2111.34
792.627 2463.87
770.44 2394.96
642.689 1998.68
813.44 2529.28
824.885 2564.6
60.9149 195.159
517.838 1612.78
223.701 700.499
660.909 2056.13
830.805 2582.21
938.719 2917.82
76.2658 243.961
837.825 2605.18
856.014 2660.89
915.799 2845.81
824.488 2563.38
40.9864 133.299
444.227 1383.42
934.935 2904.82
284.921 889.915
498.734 1552.96
375.805 1171.6
758.934 2359.07
356.945 1113.57
449.232 1400.41
628.102 1955.3
880.184 2735.85
790.674 2458.52
460.982 1435.98
539.079 1678.01
654.256 2036.13
910.276 2828.47
887.967 2759.12
566.82 1764.98
646.931 2012.39
698.691 2173.25
240.883 754.582
300.79 938.657
225.013 703.988
149.693 471.01
755.638 2349.57
881.466 2739.07
922.758 2867.72
294.046 919.671
940.306 2921.47
484.268 1507.93
614.673 1912.95
805.292 2502.67
381.939 1190.83
24.2927 81.9015
26.5816 89.3567
592.395 1844.14
594.348 1850.67
738.09 2294.76
615.619 1916.32
284.738 890.492
188.025 590.376
798.303 2481.69
350.383 1093.8
15.7781 56.6152
143.956 453.082
618.214 1923.93
423.261 1320.18
412.03 1285.28
471.664 1470.16
1.648 12.005
425.245 1325.86
193.335 607.008
33.6924 111.309
795.007 2470.75
14.9236 53.1873
290.506 907.09
817.286 2541.05
197.363 619.974
613.056 1906.84
887.173 2757.71
434.309 1354.52
385.205 1201.31
153.6 482.725
291.238 909.768
131.291 414.876
607.685 1890.95
422.742 1317.99
43.0921 141.427
90.3043 288.127
408.979 1274.8
16.9988 60.699
166.204 522.487
302.103 944.398
133.732 422.097
451.766 1407.49
966.491 3003.38
792.81 2465.12
372.021 1159.63
451.43 1407.59
286.782 896.073
485.366 1512.51
500.015 1557.09
952.513 2959.97
622.852 1937.86
477.035 1486.89
972.533 3023.02
850.673 2645.21
6.71407 27.4014
14.069 49.9123
523.85 1630.41
23.5298 80.1565
63.9058 204.742
945.097 2937.93
933.134 2900.06
659.841 2052.19
150.731 473.629
933.836 2902.13
510.086 1588.24
426.344 1329.16
978.149 3039.64
213.446 668.037
958.159 2977.8
504.41 1570.72
627.613 1952.4
162.755 511.749
770.44 2395.96
26.3985 88.7914
366.619 1144.71
485.855 1513.04
815.424 2535.3
944.09 2933.57
168.462 528.451
276.955 865.82
268.166 838.411
859.768 2672.96
343.913 1073.86
750.786 2334.34
543.504 1691.19
851.619 2647.59
190.161 596.597
920.499 2859.82
387.555 1209.38
824.397 2562.45
63.7227 204.294
4.08948 20.1819
783.532 2435.37
416.791 1298.72
783.471 2435.28
840.541 2613.21
828.394 2574.73
996.643 3097.29
769.768 2393.02
96.8352 308.183
236.335 739.534
775.323 2411.22
826.411 2568.77
547.594 1704.11
625.599 1945.74
572.558 1781.14
971.374 3017.93
207.77 651.35
244.545 765.415
262.764 821.849
222.449 696.579
600.604 1868.07
293.68 917.838
434.4 1353.1
744.499 2314.16
941.13 2924.02
499.466 1555.96
293.405 916.645
263.955 825.314
517.197 1610.18
96.2859 305.127
341.99 1067.79
157.445 495.108
49.1043 159.425
873.196 2715.08
864.162 2686.57
120.304 379.353
308.725 963.259
440.809 1373.01
749.077 2330.23
821.558 2553.19
779.779 2423.53
375.713 1171.02
683.493 2125.83
451.277 1406.06
640.431 1993.2
397.717 1239.64
244.758 765.616
567.034 1764.73
849.422 2639.55
236.763 740.913
925.352 2875.22
145.207 458.042
616.718 1919.38
345.347 1078.57
620.075 1930.41
243.721 762.524
40.4981 133.491
113.041 357.9
607.959 1891.51
182.409 571.993
191.198 599.126
739.25 2299.76
559.008 1740.28
647.023 2012.49
424.146 1322.79
420.148 1309.41
597.919 1860.7
623.432 1940.76
201.88 633.358
6.71407 28.8985
955.382 2969.68
568.346 1768.67
207.77 652.025
789.544 2455.08
238.929 748.879
722.221 2246.88
31.373 105.059
566.546 1763.24
853.847 2653.25
971.313 3018.32
207.892 652.211
650.746 2025.29
605.823 1884.64
164.525 516.599
891.934 2771.98
973.235 3023.32
16.5105 57.9986
292.093 912.089
947.63 2945.68
938.292 2916.63
383.343 1195.62
431.166 1343.25
735.71 2288.71
186.712 586.262
114.383 361.684
865.688 2690.78
379.406 1182.41
923.643 2870.94
370.22 1154.61
286.233 894.12
789.88 2455.19
966.887 3004.09
543.565 1693.12
476.211 1482.87
232.704 729.281
172.43 541.258
607.898 1891.4
390.454 1217.65
716.788 2229.95
393.078 1225.54
866.817 2694.45
32.9905 110.275
986.572 3065.29
626.392 1948.42
134.556 424.203
39.4604 130.002
399.152 1244.33
508.591 1584.03
879.971 2735.59
371.288 1158.67
467.36 1456.2
810.328 2519.55
364.025 1135.6
27.0089 91.2979
350.139 1093.01
90.3043 287.39
303.262 947.321
177.953 559.353
71.3828 227.758
164.19 516.74
89.5413 284.658
633.381 1970.12
748.619 2327.9
543.138 1691.05
97.8118 309.466
42.4207 137.984
612.568 1905.61
500.229 1557.58
112.918 357.13
738.487 2296.87
99.1852 313.995
919.523 2856.9
406.964 1269.44
632.313 1967.76
795.068 2471.82
584.796 1820.43
498.154 1550.64
60.3046 193.891
517.502 1611.04
64.0278 206.419
122.684 387.684
994.232 3089
310.953 970.437
845.607 2628.83
450.575 1404.31
518.113 1612.74
640.278 1992.75
882.962 2743.52
77.0592 246.258
979.644 3044.72
562.883 1751.71
203.558 638.311
820.612 2551.92
720.786 2241.35
160.436 505.45
738.701 2296.21
858.669 2669.67
795.618 2473.51
11.7191 42.8693
29.9387 100.166
232.734 728.416
579.974 1804.65
987.518 3068.09
969.359 3013.13
253.822 794.12
680.563 2116.24
149.266 470.105
228.401 716.22
839.412 2609.19
48.555 157.708
32.4107 107.015
533.311 1661.36
313.303 979.03
705.069 2192.69
95.7976 304.559
441.878 1377.19
699.912 2177.58
983.795 3057.77
618.03 1922.37
778.71 2421.97
43.4584 141.315
697.653 2169.75
822.84 2557.91
384.808 1199.73
784.326 2437.88
135.594 428.303
513.871 1599.81
337.962 1055.15
722.77 2247.87
295.511 923.332
0.671407 9.83164
299.997 938.146
602.374 1874.4
259.926 813.382
596.759 1856.62
147.343 463.616
843.226 2620.24
120.396 380.493
471.267 1467.54
540.849 1682.95
457.35 1425.69
357.036 1113.07
135.563 427.408
591.51 1841.33
676.687 2105.92
79.2871 252.556
345.592 1078.11
278.085 869.618
325.144 1015.76
34.5775 114.386
701.621 2182.74
772.942 2403.84
466.353 1452.87
790.307 2456.83
726.493 2259.4
332.133 1037.16
357.86 1116.83
996.246 3095.53
703.696 2189.1
906.644 2817.14
243.171 760.443
133.244 420.823
56.2761 180.719
129.917 410.559
13.0314 46.6401
654.592 2037.33
548.296 1706.65
839.473 2609.11
267.159 834.906
925.718 2876.22
89.4498 284.775
786.981 2446.06
807.398 2509.15
869.747 2703.3
424.787 1323.21
694.876 2162.02
93.9055 298.218
723.624 2250.35
490.249 1527.71
314.432 981.58
695.669 2164
812.433 2525.14
715.506 2224.86
642.262 1997.58
265.938 831.148
747.063 2322.92
55.3606 178.472
951.14 2955.69
74.7398 238.052
952.33 2959.21
30.8847 103.472
791.62 2460.59
629.078 1957.11
931.12 2894.03
561.571 1748.75
620.563 1931.19
412.336 1285.97
171.361 538.39
869.747 2703.4
212.958 667.722
273.965 857.265
101.627 321.899
238.441 745.666
512.986 1597.74
501.022 1560.64
1.95318 13.7062
904.294 2810
80.9961 258.833
102.359 323.716
275.918 862.305
865.993 2691.36
792.383 2463
337.138 1052.16
